customer_id,customer_segment
C022824,Consumer
C012746,Consumer
C002585,Corporate
C008682,Corporate
C011511,Consumer
C000611,Consumer
C009139,Corporate
C010686,Corporate
C022897,Consumer
C019957,Consumer
C003754,Consumer
C015688,Corporate
C003764,Corporate
C024506,Home Office
C005038,Corporate
C022787,Home Office
C001987,Corporate
C012265,Consumer
C009048,Consumer
C023740,Home Office
C012271,Consumer
C016587,Consumer
C005182,Consumer
C021109,Consumer
C008664,Home Office
C003590,Home Office
C024701,Consumer
C005433,Consumer
C022607,Corporate
C009152,Corporate
C024303,Consumer
C020444,Corporate
C009196,Consumer
C023977,Home Office
C007563,Consumer
C006486,Consumer
C014971,Home Office
C020616,Consumer
C001274,Corporate
C011439,Consumer
C017693,Consumer
C002952,Corporate
C011785,Corporate
C001332,Consumer
C023781,Corporate
C001034,Consumer
C019759,Consumer
C012874,Corporate
C016804,Consumer
C003785,Consumer
C002249,Corporate
C017393,Home Office
C002540,Corporate
C011352,Consumer
C004410,Consumer
C023844,Home Office
C024987,Consumer
C017602,Consumer
C008243,Corporate
C021198,Consumer
C008230,Corporate
C002029,Corporate
C014065,Corporate
C013279,Consumer
C006149,Corporate
C011012,Consumer
C014311,Corporate
C009843,Corporate
C007630,Consumer
C024808,Consumer
C014742,Corporate
C007496,Consumer
C013994,Corporate
C017595,Corporate
C011660,Consumer
C020176,Consumer
C012150,Consumer
C013030,Consumer
C004713,Corporate
C017060,Consumer
C017558,Consumer
C014326,Corporate
C000718,Corporate
C022092,Corporate
C008206,Corporate
C006383,Consumer
C001911,Consumer
C012454,Corporate
C024018,Consumer
C005919,Home Office
C021002,Consumer
C004535,Consumer
C017454,Consumer
C012284,Consumer
C018114,Consumer
C005892,Consumer
C016520,Consumer
C013539,Consumer
C015502,Consumer
C021167,Corporate
C006126,Consumer
C008406,Consumer
C012206,Corporate
C005990,Corporate
C002387,Home Office
C014740,Consumer
C022120,Consumer
C023728,Consumer
C009061,Corporate
C007573,Consumer
C003839,Corporate
C018992,Consumer
C005937,Corporate
C004243,Consumer
C002218,Consumer
C004235,Corporate
C003105,Consumer
C000411,Consumer
C020897,Consumer
C016420,Consumer
C007687,Consumer
C012984,Consumer
C005291,Consumer
C002942,Consumer
C013251,Consumer
C015490,Corporate
C009564,Corporate
C005461,Home Office
C008616,Corporate
C006488,Consumer
C001986,Home Office
C019521,Consumer
C014414,Corporate
C010533,Corporate
C009051,Home Office
C013221,Corporate
C014212,Home Office
C024219,Consumer
C024454,Consumer
C004260,Consumer
C019632,Corporate
C007456,Consumer
C003126,Consumer
C016505,Consumer
C008464,Corporate
C011178,Corporate
C002657,Home Office
C003247,Corporate
C009714,Consumer
C022544,Consumer
C001556,Corporate
C018700,Corporate
C022834,Consumer
C009985,Corporate
C019370,Consumer
C005514,Corporate
C020238,Consumer
C005341,Corporate
C021207,Consumer
C000355,Home Office
C015240,Consumer
C015038,Consumer
C013511,Corporate
C013910,Consumer
C021860,Consumer
C009412,Consumer
C012090,Corporate
C003176,Consumer
C022520,Consumer
C021519,Corporate
C020760,Consumer
C005773,Consumer
C003744,Consumer
C016318,Corporate
C003383,Consumer
C000854,Corporate
C011860,Consumer
C015108,Home Office
C008083,Consumer
C001023,Consumer
C016646,Home Office
C002275,Corporate
C005810,Corporate
C014136,Consumer
C011553,Corporate
C020895,Consumer
C008992,Consumer
C007284,Consumer
C020630,Consumer
C000297,Consumer
C015958,Corporate
C015076,Consumer
C017725,Corporate
C008191,Consumer
C010864,Consumer
C000946,Corporate
C001661,Consumer
C014295,Corporate
C023872,Consumer
C012435,Consumer
C002795,Consumer
C019303,Corporate
C004668,Corporate
C016343,Consumer
C010184,Consumer
C020680,Corporate
C020263,Home Office
C009586,Consumer
C005165,Consumer
C009536,Corporate
C008158,Corporate
C000816,Corporate
C020679,Home Office
C005477,Home Office
C022485,Consumer
C017963,Consumer
C022666,Home Office
C015130,Consumer
C001311,Consumer
C002332,Consumer
C008102,Consumer
C010669,Consumer
C008232,Consumer
C002493,Consumer
C018299,Corporate
C003319,Consumer
C010137,Home Office
C022381,Consumer
C007592,Consumer
C012033,Consumer
C010358,Consumer
C023808,Consumer
C020060,Home Office
C003888,Home Office
C023357,Consumer
C006667,Consumer
C023873,Corporate
C008516,Consumer
C019815,Corporate
C023332,Consumer
C014252,Corporate
C005448,Consumer
C008424,Consumer
C000092,Corporate
C013213,Consumer
C008653,Corporate
C023936,Corporate
C012110,Home Office
C005961,Corporate
C016805,Consumer
C003804,Consumer
C004841,Consumer
C020332,Home Office
C024586,Consumer
C015605,Home Office
C004763,Consumer
C019363,Corporate
C019584,Consumer
C021123,Corporate
C013034,Consumer
C012304,Corporate
C009513,Consumer
C001693,Corporate
C010267,Consumer
C008733,Consumer
C023865,Corporate
C005603,Consumer
C021953,Corporate
C004023,Consumer
C020922,Corporate
C008360,Consumer
C018414,Corporate
C017531,Consumer
C021173,Consumer
C023814,Consumer
C000188,Corporate
C017515,Consumer
C023184,Consumer
C002666,Consumer
C005026,Consumer
C020983,Consumer
C015634,Corporate
C024294,Consumer
C011844,Consumer
C011535,Consumer
C000134,Consumer
C014230,Consumer
C013248,Corporate
C001945,Corporate
C021887,Consumer
C014887,Corporate
C016707,Home Office
C020961,Corporate
C007229,Consumer
C000914,Consumer
C020157,Corporate
C019664,Consumer
C015981,Corporate
C006764,Consumer
C019188,Consumer
C013135,Consumer
C007009,Home Office
C012464,Consumer
C023483,Home Office
C013821,Consumer
C023700,Corporate
C019660,Home Office
C020096,Consumer
C005913,Consumer
C018828,Corporate
C017727,Corporate
C010689,Consumer
C022574,Consumer
C018179,Consumer
C019219,Consumer
C005432,Consumer
C016838,Consumer
C002516,Corporate
C019480,Consumer
C021871,Consumer
C000695,Consumer
C004610,Consumer
C018741,Corporate
C009684,Corporate
C000415,Corporate
C008811,Consumer
C008437,Consumer
C004344,Home Office
C001746,Consumer
C011841,Consumer
C022584,Home Office
C009223,Corporate
C012872,Consumer
C016989,Corporate
C000717,Consumer
C018354,Corporate
C016973,Consumer
C006415,Consumer
C019224,Consumer
C004849,Consumer
C002033,Consumer
C009117,Consumer
C008696,Consumer
C014548,Consumer
C022851,Corporate
C002308,Consumer
C003258,Consumer
C010664,Corporate
C021205,Consumer
C000456,Corporate
C001381,Consumer
C008234,Consumer
C012762,Consumer
C016070,Home Office
C001497,Consumer
C019633,Consumer
C004974,Corporate
C018140,Corporate
C006878,Consumer
C003892,Home Office
C009830,Consumer
C011409,Corporate
C008580,Consumer
C018715,Consumer
C007282,Consumer
C021388,Corporate
C003251,Corporate
C009568,Consumer
C010815,Corporate
C014245,Consumer
C004495,Home Office
C017576,Corporate
C002847,Consumer
C016748,Corporate
C008948,Corporate
C016041,Consumer
C015407,Corporate
C015740,Home Office
C008569,Consumer
C007696,Consumer
C023506,Corporate
C015925,Corporate
C012391,Consumer
C007924,Corporate
C004902,Home Office
C005294,Corporate
C009663,Corporate
C020190,Consumer
C014324,Consumer
C022545,Corporate
C022978,Consumer
C010039,Consumer
C002355,Consumer
C017456,Consumer
C012774,Consumer
C004998,Corporate
C019851,Home Office
C006457,Consumer
C010842,Home Office
C022492,Home Office
C002154,Corporate
C021574,Consumer
C012121,Consumer
C013341,Consumer
C010001,Corporate
C011025,Corporate
C003343,Corporate
C006142,Consumer
C022103,Corporate
