full_date,date_key,year,quarter,month_number,month_name,month_year,day_of_week_number,day_name,is_weekend
2023-01-01,20230101,2023,1,1,January,2023-01,7,Sunday,1
2023-01-02,20230102,2023,1,1,January,2023-01,1,Monday,0
2023-01-03,20230103,2023,1,1,January,2023-01,2,Tuesday,0
2023-01-04,20230104,2023,1,1,January,2023-01,3,Wednesday,0
2023-01-05,20230105,2023,1,1,January,2023-01,4,Thursday,0
2023-01-06,20230106,2023,1,1,January,2023-01,5,Friday,0
2023-01-07,20230107,2023,1,1,January,2023-01,6,Saturday,1
2023-01-08,20230108,2023,1,1,January,2023-01,7,Sunday,1
2023-01-09,20230109,2023,1,1,January,2023-01,1,Monday,0
2023-01-10,20230110,2023,1,1,January,2023-01,2,Tuesday,0
2023-01-11,20230111,2023,1,1,January,2023-01,3,Wednesday,0
2023-01-12,20230112,2023,1,1,January,2023-01,4,Thursday,0
2023-01-13,20230113,2023,1,1,January,2023-01,5,Friday,0
2023-01-14,20230114,2023,1,1,January,2023-01,6,Saturday,1
2023-01-15,20230115,2023,1,1,January,2023-01,7,Sunday,1
2023-01-16,20230116,2023,1,1,January,2023-01,1,Monday,0
2023-01-17,20230117,2023,1,1,January,2023-01,2,Tuesday,0
2023-01-18,20230118,2023,1,1,January,2023-01,3,Wednesday,0
2023-01-19,20230119,2023,1,1,January,2023-01,4,Thursday,0
2023-01-20,20230120,2023,1,1,January,2023-01,5,Friday,0
2023-01-21,20230121,2023,1,1,January,2023-01,6,Saturday,1
2023-01-22,20230122,2023,1,1,January,2023-01,7,Sunday,1
2023-01-23,20230123,2023,1,1,January,2023-01,1,Monday,0
2023-01-24,20230124,2023,1,1,January,2023-01,2,Tuesday,0
2023-01-25,20230125,2023,1,1,January,2023-01,3,Wednesday,0
2023-01-26,20230126,2023,1,1,January,2023-01,4,Thursday,0
2023-01-27,20230127,2023,1,1,January,2023-01,5,Friday,0
2023-01-28,20230128,2023,1,1,January,2023-01,6,Saturday,1
2023-01-29,20230129,2023,1,1,January,2023-01,7,Sunday,1
2023-01-30,20230130,2023,1,1,January,2023-01,1,Monday,0
2023-01-31,20230131,2023,1,1,January,2023-01,2,Tuesday,0
2023-02-01,20230201,2023,1,2,February,2023-02,3,Wednesday,0
2023-02-02,20230202,2023,1,2,February,2023-02,4,Thursday,0
2023-02-03,20230203,2023,1,2,February,2023-02,5,Friday,0
2023-02-04,20230204,2023,1,2,February,2023-02,6,Saturday,1
2023-02-05,20230205,2023,1,2,February,2023-02,7,Sunday,1
2023-02-06,20230206,2023,1,2,February,2023-02,1,Monday,0
2023-02-07,20230207,2023,1,2,February,2023-02,2,Tuesday,0
2023-02-08,20230208,2023,1,2,February,2023-02,3,Wednesday,0
2023-02-09,20230209,2023,1,2,February,2023-02,4,Thursday,0
2023-02-10,20230210,2023,1,2,February,2023-02,5,Friday,0
2023-02-11,20230211,2023,1,2,February,2023-02,6,Saturday,1
2023-02-12,20230212,2023,1,2,February,2023-02,7,Sunday,1
2023-02-13,20230213,2023,1,2,February,2023-02,1,Monday,0
2023-02-14,20230214,2023,1,2,February,2023-02,2,Tuesday,0
2023-02-15,20230215,2023,1,2,February,2023-02,3,Wednesday,0
2023-02-16,20230216,2023,1,2,February,2023-02,4,Thursday,0
2023-02-17,20230217,2023,1,2,February,2023-02,5,Friday,0
2023-02-18,20230218,2023,1,2,February,2023-02,6,Saturday,1
2023-02-19,20230219,2023,1,2,February,2023-02,7,Sunday,1
2023-02-20,20230220,2023,1,2,February,2023-02,1,Monday,0
2023-02-21,20230221,2023,1,2,February,2023-02,2,Tuesday,0
